 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1707595758.3140943,-216.1362982392311,-537.58817923069,-1919.3764956593511,-179.2758442759514,1
1707595758.3140943,0.0,0.0,0.0,0.0,1
1707595758.3531084,-236.24200040102005,-611.3090871572495,-2021.5804816484451,-215.1788838505745,1
1707595758.3531084,-228.34333169460297,-499.5309572815895,-1832.2517862915993,-164.91462844610214,1
1707595758.3678608,-230.7368676662445,-622.3193526268005,-1993.336757183075,-221.16272377967832,1
1707595758.3678608,-250.84256982803345,-651.5204914808273,-2074.9563338160515,-229.54009968042376,1
1707595758.3822536,-269.2727968096733,-542.8539583683014,-1880.8405665159223,-169.94105398654938,1
1707595758.3822536,-250.124509036541,-592.1607993841171,-1918.4190812706947,-191.48287773132324,1
1707595758.3829882,-257.7838241457939,-696.5189677476883,-2105.354240655899,-237.67812198400495,1
1707595758.3829882,-273.3418079614639,-577.7995835542679,-1951.689231276512,-178.79713708162308,1
1707595758.396567,-253.7148129940033,-548.1197375059128,-1865.7612898945808,-173.5313579440117,1
1707595758.396567,-254.43287378549576,-681.6790447235107,-2068.254433095455,-236.72070759534836,1
1707595758.4124067,-266.87926083803177,-624.2341814041138,-2020.14436006546,-198.902839243412,1
1707595758.4124067,-263.76766407489777,-518.918598651886,-1846.3736485242844,-167.30816441774368,1
1707595758.4130082,-250.3638626337051,-638.595397233963,-2002.4321938753128,-220.9233701825142,1
1707595758.4130082,-263.28895688056946,-666.1210609078407,-2079.9827593564987,-215.89694464206696,1
1707595758.4267368,-270.4695647954941,-542.8539583683014,-1885.3882848620417,-159.4094957113266,1
1707595758.4267368,-250.84256982803345,-587.6130810379982,-1919.1371420621872,-201.77508240938187,1
1707595758.4422812,-256.347702562809,-687.1841774582863,-2097.694925546646,-243.18325471878052,1
1707595758.4422812,-261.6134817004204,-577.3208763599396,-1957.673071205616,-183.344855427742,1
1707595758.44315,-244.61937630176544,-543.0933119654655,-1872.9418978095057,-186.456452190876,1
1707595758.44315,-242.7045475244522,-654.8714418411255,-2047.670023739338,-236.4813539981842,1
1707595758.4566472,-257.06576335430145,-627.8244853615761,-2039.7713550329208,-213.50340867042544,1
1707595758.4566472,-260.17736011743546,-527.2959745526314,-1857.1445603966713,-170.41976118087769,1
1707595758.472778,-245.3374370932579,-640.9889332056046,-2005.5437906384468,-234.3271716237068,1
1707595758.472778,-254.6722273826599,-659.6585137844086,-2075.913748204708,-231.2155748605728,1
1707595758.4730823,-267.59732162952423,-539.7423616051674,-1885.148931264877,-178.55778348445892,1
1707595758.4730823,-246.05549788475037,-589.0492026209831,-1932.54094350338,-212.0672870874405,1
1707595758.4866452,-255.15093457698825,-695.5615533590317,-2102.9607046842575,-241.02907234430313,1
1707595758.4866452,-257.7838241457939,-567.2680252790451,-1942.8331481814384,-185.4990378022194,1
1707595758.5023344,-236.72070759534836,-541.4178367853165,-1872.223837018013,-187.17451298236847,1
1707595758.5023344,-241.50777953863144,-675.6952047944069,-2075.913748204708,-245.3374370932579,1
1707595758.5029976,-260.8954209089279,-625.1915957927704,-2031.872686326504,-217.09371262788773,1
1707595758.5029976,-253.236105799675,-519.3973058462143,-1849.963952481747,-177.36101549863815,1
1707595758.5166786,-233.3697572350502,-630.9360821247101,-2006.7405586242676,-228.82203888893127,1
1707595758.5166786,-250.6032162308693,-661.5733425617218,-2080.9401737451553,-226.90721011161804,1
1707595758.532663,-253.4754593968391,-523.7056705951691,-1877.9683233499527,-175.44618672132492,1
1707595758.532663,-233.13040363788605,-578.5176443457603,-1925.3603355884552,-207.75892233848572,1
1707595758.533105,-248.6883874535561,-691.2531886100769,-2106.3116550445557,-245.3374370932579,1
1707595758.533105,-264.0070176720619,-572.0550972223282,-1953.125352859497,-194.59447449445724,1
1707595758.5466392,-252.51804500818253,-546.4442623257637,-1875.0960801839828,-194.59447449445724,1
1707595758.5466392,-243.90131551027295,-685.0299950838089,-2074.7169802188873,-243.66196191310885,1
1707595758.5624385,-239.5929507613182,-607.479429602623,-2012.006337761879,-193.8764137029648,1
1707595758.5624385,-231.45492845773697,-502.1638468503952,-1826.2679463624952,-152.70759499073029,1
1707595758.562984,-230.01880687475204,-639.5528116226196,-2007.697973012924,-229.54009968042376,1
1707595758.562984,-248.4490338563919,-659.6585137844086,-2077.589223384857,-224.75302773714063,1
1707595758.5766127,-248.20968025922775,-519.8760130405426,-1870.3090082407,-167.54751801490784,1
1707595758.5766127,-233.60911083221436,-581.3898875117302,-1922.9667996168137,-210.1524583101273,1
1707595758.5923183,-241.98648673295975,-681.2003375291824,-2106.790362238884,-243.42260831594467,1
1707595758.5923183,-254.1935201883316,-558.8906493782997,-1945.22668415308,-183.58420902490616,1
1707595758.5930336,-226.1891493201256,-531.364985704422,-1864.325168311596,-178.79713708162308,1
1707595758.5930336,-232.17298924922943,-660.1372209787369,-2065.142836332321,-240.5503651499748,1
1707595758.6067808,-264.0070176720619,-626.8670709729195,-2025.4101392030716,-211.10987269878387,1
1707595758.6067808,-243.18325471878052,-513.6528195142746,-1837.996272623539,-161.80303168296814,1
1707595758.6223643,-224.75302773714063,-630.9360821247101,-1996.687707543373,-218.52983421087265,1
1707595758.6223643,-244.3800227046013,-653.4353202581406,-2073.0415050387383,-221.8807845711708,1
1707595758.6231658,-247.01291227340695,-521.0727810263634,-1875.8141409754753,-168.02622520923617,1
1707595758.6231658,-227.38591730594635,-578.5176443457603,-1931.5835291147232,-205.84409356117249,1
1707595758.6366327,-243.42260831594467,-684.5512878894806,-2103.2000582814217,-248.20968025922775,1
1707595758.6366327,-253.95416659116745,-568.70414686203,-1952.1679384708405,-189.32869535684583,1
1707595758.6523497,-237.91747558116913,-542.6146047711372,-1871.9844834208488,-185.73839139938352,1
1707595758.6523497,-230.97622126340863,-664.6849393248558,-2071.366029858589,-248.20968025922775,1
1707595758.653068,-251.32127702236176,-621.3619382381439,-2026.128199994564,-217.8117734193802,1
1707595758.653068,-241.26842594146729,-512.695405125618,-1842.0652837753296,-177.36101549863815,1
1707595758.666612,-222.59884536266327,-626.8670709729195,-2006.2618514299393,-228.34333169460297,1
1707595758.666612,-243.66196191310885,-657.264977812767,-2074.238273024559,-230.7368676662445,1
1707595758.6834624,-243.66196191310885,-523.2269634008408,-1877.4896161556244,-171.8558827638626,1
1707595758.6834624,-216.61500543355945,-571.3370364308357,-1924.6422747969627,-205.60473996400833,1
1707595758.683545,-232.8910500407219,-681.4396911263466,-2096.9768647551537,-246.77355867624283,1
1707595758.683545,-249.16709464788437,-561.5235389471054,-1939.242844223976,-185.25968420505524,1
1707595758.6969757,-225.94979572296145,-535.4339968562126,-1868.3941794633863,-190.7648169398308,1
1707595758.6969757,-222.83819895982745,-669.4720112681389,-2060.116410791874,-242.94390112161636,1
1707595758.7127907,-241.7471331357956,-615.6174519062042,-2015.5966417193413,-213.98211586475372,1
1707595758.7127907,-227.86462450027463,-504.55738282203674,-1841.107869386673,-179.2758442759514,1
1707595758.7132676,-228.1039780974388,-597.4265785217285,-1967.7259222865105,-223.0775525569916,1
1707595758.7132676,-236.0026468038559,-625.9096565842628,-2026.367553591728,-225.71044212579727,1
1707595758.7268884,-214.9395302534103,-554.5822846293449,-1933.4983578920364,-193.15835291147232,1
1707595758.7268884,-232.8910500407219,-583.5440698862076,-1944.0299161672592,-213.2640550732613,1
1707595758.7422976,-240.78971874713895,-626.8670709729195,-2022.5378960371015,-226.42850291728973,1
1707595758.7422976,-228.34333169460297,-587.8524346351624,-1967.2472150921824,-204.1686183810234,1
1707595758.743062,-226.90721011161804,-573.7305724024773,-1933.9770650863647,-207.99827593564987,1
1707595758.743062,-251.32127702236176,-630.2180213332176,-2023.4953104257584,-236.4813539981842,1
1707595758.7567675,-240.78971874713895,-604.8465400338173,-2007.45861941576,-218.0511270165443,1
1707595758.7567675,-222.83819895982745,-560.3267709612846,-1922.9667996168137,-191.00417053699493,1
1707595758.7724268,-231.93363565206528,-598.6233465075493,-1972.5129942297935,-208.71633672714233,1
1707595758.7724268,-233.13040363788605,-614.4206839203835,-2012.2456913590431,-221.4020773768425,1
1707595758.7731478,-205.60473996400833,-546.922969520092,-1928.4719323515892,-187.17451298236847,1
1707595758.7731478,-221.4020773768425,-570.140268445015,-1939.4821978211403,-196.03059607744217,1
1707595758.7866027,-230.49751406908035,-615.1387447118759,-2011.0489233732224,-216.61500543355945,1
1707595758.7866027,-205.12603276968,-561.2841853499413,-1952.6466456651688,-196.9880104660988,1
