 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1707595382.7717085,-488.99939900636673,-707.0505260229111,-2055.329338848591,-239.35359716415405,0
1707595382.7717085,-399.4811536669731,-744.150333583355,-2127.6141251921654,-242.46519392728808,0
1707595382.807094,-391.1037777662277,-648.6482483148575,-2075.1956874132156,-178.79713708162308,0
1707595382.807094,-482.7762054800987,-751.0915879011154,-2087.1633672714233,-263.5283104777336,0
1707595382.8216865,-328.87184250354767,-704.8963436484337,-2142.9327554106712,-201.77508240938187,0
1707595382.8216865,-333.4195608496666,-624.2341814041138,-2085.009184896946,-144.56957268714905,0
1707595382.8366013,-478.7071943283081,-709.2047083973885,-2060.116410791874,-241.50777953863144,0
1707595382.8366013,-384.4018770456314,-732.6613609194756,-2121.390931665898,-227.38591730594635,0
1707595382.8371077,-294.8836317062378,-633.0902644991875,-2108.944544613362,-136.4315503835678,0
1707595382.8371077,-437.5383756160736,-664.92429292202,-2056.765460431576,-207.2802151441574,0
1707595382.850882,-440.88932597637177,-751.0915879011154,-2107.2690694332123,-256.10834896564484,0
1707595382.850882,-293.686863720417,-662.5307569503784,-2130.007661163807,-160.84561729431152,0
1707595382.8665242,-392.7792529463768,-644.1005299687386,-2072.323444247246,-180.7119658589363,0
1707595382.8665242,-483.0155590772629,-746.7832231521606,-2091.7110856175423,-272.14503997564316,0
1707595382.8670585,-341.796936750412,-708.0079404115677,-2149.8740097284317,-208.9556903243065,0
1707595382.8670585,-341.0788759589195,-636.9199220538139,-2097.455571949482,-162.28173887729645,0
1707595382.8805337,-488.0419846177101,-719.9756202697754,-2076.8711625933647,-255.15093457698825,0
1707595382.8805337,-390.38571697473526,-742.9535655975342,-2137.4276226758957,-242.94390112161636,0
1707595382.8964849,-301.82488602399826,-646.0153587460518,-2122.587699651718,-156.2978989481926,0
1707595382.8964849,-444.9583371281624,-677.1313263773918,-2068.4937866926193,-217.33306622505188,0
1707595382.8970287,-444.2402763366699,-755.160599052906,-2111.338080585003,-263.76766407489777,0
1707595382.8970287,-297.0378140807152,-669.711364865303,-2133.119257926941,-162.0423852801323,0
1707595382.910879,-391.1037777662277,-643.1431155800819,-2070.6479690670967,-174.4887723326683,0
1707595382.910879,-481.1007302999497,-742.71421200037,-2081.4188809394836,-259.69865292310715,0
1707595382.9265125,-333.4195608496666,-705.375050842762,-2135.5127938985825,-193.8764137029648,0
1707595382.9265125,-334.3769752383232,-629.260606944561,-2093.3865607976913,-151.75018060207367,0
1707595382.9272013,-481.8187910914421,-712.7950123548508,-2064.4247755408287,-252.75739860534668,0
1707595382.9272013,-389.90700978040695,-733.6187753081322,-2127.135417997837,-236.72070759534836,0
1707595382.9405727,-301.1068252325058,-632.6115573048592,-2109.662605404854,-146.72375506162643,0
1707595382.9405727,-446.8731659054756,-674.9771440029144,-2067.5363723039627,-213.2640550732613,0
1707595382.9561343,-443.52221554517746,-757.0754278302193,-2116.36450612545,-264.7250784635544,0
1707595382.9561343,-297.5165212750435,-670.4294256567955,-2141.257280230522,-174.4887723326683,0
1707595382.9712336,-387.5134738087654,-646.2547123432159,-2074.9563338160515,-182.14808744192123,0
1707595382.9712336,-476.7923655509949,-743.9109799861908,-2093.3865607976913,-274.5385759472847,0
1707595382.9719253,-329.8292568922043,-703.6995756626129,-2150.592070519924,-213.98211586475372,0
1707595382.9719253,-337.24921840429306,-629.260606944561,-2101.2852295041084,-164.675274848938,0
1707595382.9868104,-481.3400838971138,-709.2047083973885,-2069.929908275604,-251.5606306195259,0
1707595382.9868104,-387.7528274059296,-732.4220073223114,-2131.92248994112,-241.50777953863144,0
1707595382.987568,-295.8410460948944,-635.483800470829,-2113.9709701538086,-144.56957268714905,0
1707595382.987568,-444.9583371281624,-668.5145968794823,-2057.9622284173965,-206.56215435266495,0
1707595383.0172334,-448.30928748846054,-749.1767591238022,-2104.1574726700783,-259.21994572877884,0
1707595383.0172334,-302.7823004126549,-662.2914033532143,-2128.571539580822,-164.91462844610214,0
1707595383.0177245,-386.5560594201088,-638.8347508311272,-2068.015079498291,-174.01006513834,0
1707595383.0177245,-485.6484486460686,-745.1077479720116,-2087.881428062916,-269.99085760116577,0
1707595383.0185285,-338.92469358444214,-705.375050842762,-2141.017926633358,-202.014436006546,0
1707595383.0185285,-341.796936750412,-633.3296180963516,-2095.0620359778404,-157.73402053117752,0
1707595383.0305212,-487.3239238262177,-716.8640235066414,-2072.802151441574,-258.5018849372864,0
1707595383.0305212,-400.6779216527939,-745.1077479720116,-2134.3160259127617,-246.05549788475037,0
1707595383.0463922,-309.72355473041534,-646.0153587460518,-2120.912224471569,-152.94694858789444,0
1707595383.0463922,-449.5060554742813,-681.4396911263466,-2074.9563338160515,-227.86462450027463,0
1707595383.0469942,-448.30928748846054,-752.7670630812645,-2117.800627708435,-268.07602882385254,0
1707595383.0469942,-299.4313500523567,-670.6687792539597,-2135.2734403014183,-170.18040758371353,0
1707595383.0609016,-388.470888197422,-644.818590760231,-2073.5202122330666,-171.8558827638626,0
1707595383.0609016,-478.94654792547226,-747.9799911379814,-2098.4129863381386,-273.3418079614639,0
1707595383.0761852,-338.685339987278,-713.7524267435074,-2144.129523396492,-207.2802151441574,0
1707595383.0761852,-333.8982680439949,-638.1166900396347,-2095.3013895750046,-151.75018060207367,0
1707595383.076893,-483.73361986875534,-719.4969130754471,-2069.69055467844,-251.7999842166901,0
1707595383.076893,-391.8218385577202,-745.3471015691757,-2128.810893177986,-233.8484644293785,0
