 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1706387931.0492177,-562.2415997385979,-671.147486448288,-519.1579522490501,-423.6558669805527,1
1706387931.0492177,0.0,0.0,0.0,0.0,1
1706387931.0846653,-425.0919885635376,-667.0784752964973,-535.1946432590485,-232.4123428463936,1
1706387931.0846653,-556.4971134066582,-677.6100335717201,-527.5353281497955,-402.83210402727127,1
1706387931.0993428,-550.034566283226,-690.0564206242561,-532.0830464959145,-442.804154753685,1
1706387931.0993428,-421.26233100891113,-670.4294256567955,-544.2900799512863,-254.6722273826599,1
1706387931.1138053,-520.5940738320351,-679.5248623490334,-540.4604223966599,-331.7440856695175,1
1706387931.1138053,-596.708517730236,-697.4763821363449,-529.9288641214371,-474.1594759821892,1
1706387931.1145103,-451.42088425159454,-683.1151663064957,-541.1784831881523,-311.87773710489273,1
1706387931.1145103,-455.250541806221,-668.035889685154,-534.9552896618843,-264.4857248663902,1
1706387931.1283607,-582.1079483032227,-676.8919727802277,-518.6792450547218,-459.5589065551758,1
1706387931.1283607,-492.58970296382904,-679.7642159461975,-519.3973058462143,-369.3226004242897,1
1706387931.143872,-419.8262094259262,-658.4617457985878,-537.58817923069,-234.08781802654264,1
1706387931.143872,-559.1300029754639,-674.0197296142578,-517.7218306660652,-392.7792529463768,1
1706387931.1446612,-556.4971134066582,-691.9712494015694,-522.2695490121841,-438.4957900047302,1
1706387931.1446612,-425.33134216070175,-670.6687792539597,-538.0668864250183,-248.20968025922775,1
1706387931.158367,-508.62639397382736,-667.5571824908257,-528.0140353441238,-325.28153854608536,1
1706387931.158367,-590.7246778011322,-697.7157357335091,-527.5353281497955,-471.5265864133835,1
1706387931.173824,-456.2079561948776,-683.1151663064957,-532.3224000930786,-305.8938971757889,1
1706387931.173824,-458.6014921665192,-663.2488177418709,-533.7585216760635,-262.33154249191284,1
1706387931.1745384,-587.1343738436699,-678.5674479603767,-516.5250626802444,-449.027348279953,1
1706387931.1745384,-493.06841015815735,-678.3280943632126,-517.9611842632294,-372.912904381752,1
1706387931.1881251,-420.3049166202545,-656.7862706184387,-534.7159360647202,-232.17298924922943,1
1706387931.1881251,-549.7952126860619,-670.9081328511238,-520.8334274291992,-392.3005457520485,1
1706387931.203617,-549.7952126860619,-690.2957742214203,-522.03019541502,-437.77772921323776,1
