 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1705451252.4199524,-392.53989934921265,-404.7469328045845,-206.56215435266495,-65.82223922014236,1
1705451252.4199524,-460.5163209438324,-400.1992144584656,-193.63706010580063,-89.03953814506531,1
1705451252.434554,-373.15225797891617,-387.5134738087654,-186.456452190876,24.89277410507202,1
1705451252.434554,-346.10530149936676,-387.9921810030937,-199.86025363206863,-24.653420507907867,1
1705451252.4490538,-435.14483964443207,-376.98191553354263,-194.3551208972931,-94.784024477005,1
1705451252.4490538,-396.60891050100327,-374.34902596473694,-176.6429547071457,2.6328895688056946,1
1705451252.449762,-329.1111961007118,-386.5560594201088,-188.84998816251755,21.30247014760971,1
1705451252.449762,-421.9803918004036,-403.3108112215996,-198.902839243412,-90.95436692237854,1
1705451252.463772,-429.6397069096565,-380.57221949100494,-179.99390506744385,-36.62110036611557,1
1705451252.463772,-337.0098648071289,-386.5560594201088,-183.8235626220703,34.466917991638184,1
1705451252.4954927,-372.912904381752,-388.470888197422,-200.33896082639697,-63.90741044282913,1
1705451252.4954927,-443.0435083508491,-376.5032083392143,-194.8338280916214,-91.91178131103516,1
1705451252.4961765,-367.40777164697647,-388.94959539175034,-183.8235626220703,26.08954209089279,1
1705451252.4961765,-352.8072022199631,-395.65149611234665,-209.9131047129631,-27.525663673877716,1
1705451252.4968948,-438.97449719905853,-387.0347666144371,-199.86025363206863,-100.5285108089447,1
1705451252.4968948,-398.0450320839882,-375.78514754772186,-173.29200434684753,7.898668706417084,1
1705451252.4977317,-328.6324889063835,-389.6676561832428,-191.48287773132324,24.414066910743713,1
1705451252.4977317,-410.4914191365242,-386.5560594201088,-192.679645717144,-79.94410145282745,1
1705451252.5083745,-429.1609997153282,-376.7425619363785,-182.8661482334137,-32.07338201999664,1
1705451252.5083745,-331.98343926668167,-375.78514754772186,-184.78097701072693,41.88687950372696,1
1705451252.5397573,-379.8541586995125,-392.3005457520485,-202.25378960371015,-59.59904569387436,1
1705451252.5397573,-448.7879946827889,-381.7689874768257,-186.456452190876,-84.25246620178223,1
1705451252.540439,-353.52526301145554,-367.6471252441406,-171.61652916669846,39.73269712924957,1
1705451252.540439,-344.66917991638184,-389.1889489889145,-196.26994967460632,-13.882508635520937,1
1705451252.541195,-440.6499723792076,-382.4870482683182,-182.8661482334137,-86.64600217342377,1
1705451252.541195,-397.805678486824,-371.7161363959312,-171.3771755695343,3.829657554626465,1
1705451252.5533805,-320.73382019996643,-376.98191553354263,-187.17451298236847,23.217298924922943,1
1705451252.5533805,-413.6030158996582,-389.42830258607864,-205.36538636684415,-89.51824533939362,1
1705451252.5694036,-422.9378061890602,-363.57811409235,-176.16424751281738,-37.09980756044388,1
1705451252.5694036,-324.0847705602646,-368.12583243846893,-172.57394355535507,42.844293892383575,1
1705451252.5699687,-356.63685977458954,-372.912904381752,-185.73839139938352,-44.041061878204346,1
1705451252.5699687,-440.1712651848793,-372.67355078458786,-175.92489391565323,-74.67832231521606,1
1705451252.5833492,-344.1904727220535,-361.4239317178726,-165.39333564043045,44.519769072532654,1
1705451252.5833492,-326.238952934742,-371.7161363959312,-186.69580578804016,-12.44638705253601,1
1705451252.600124,-423.1771597862244,-370.7587220072746,-183.58420902490616,-94.784024477005,1
1705451252.600124,-384.4018770456314,-363.33876049518585,-164.675274848938,19.626994967460632,1
1705451252.600594,-324.0847705602646,-381.5296338796616,-174.9674795269966,39.253989934921265,1
1705451252.600594,-400.1992144584656,-375.78514754772186,-190.04675614833832,-73.4815543293953,1
1705451252.6133137,-425.81004935503006,-371.23742920160294,-178.31842988729477,-32.3127356171608,1
1705451252.6133137,-331.7440856695175,-378.89674431085587,-182.8661482334137,44.041061878204346,1
1705451252.62943,-370.2800148129463,-384.6412306427955,-195.3125352859497,-49.54619461297989,1
1705451252.62943,-439.2138507962227,-374.8277331590653,-184.30226981639865,-77.78991907835007,1
1705451252.6299508,-348.73819106817245,-360.9452245235443,-176.40360110998154,36.86045396327973,1
1705451252.6299508,-332.2227928638458,-372.4341971874237,-191.48287773132324,-11.010265469551086,1
1705451252.6434176,-436.1022540330887,-383.20510905981064,-197.70607125759125,-107.23041152954102,1
1705451252.6434176,-392.06119215488434,-372.67355078458786,-172.33458995819092,-6.9412543177604675,1
1705451252.659538,-325.5208921432495,-381.2902802824974,-189.56804895401,16.276044607162476,1
1705451252.659538,-400.4385680556298,-376.98191553354263,-193.63706010580063,-82.8163446187973,1
1705451252.6599293,-414.0817230939865,-363.57811409235,-163.23915326595306,-28.483078062534332,1
1705451252.6599293,-330.54731768369675,-375.78514754772186,-170.898468375206,47.15265864133835,1
1705451252.673384,-358.7910421490669,-373.3916115760803,-186.93515938520432,-39.73269712924957,1
1705451252.673384,-432.9906572699547,-366.689710855484,-175.44618672132492,-84.49181979894638,1
1705451252.6892233,-353.0465558171272,-367.1684180498123,-171.61652916669846,28.004370868206024,1
1705451252.6892233,-338.44598639011383,-384.4018770456314,-194.8338280916214,-22.020530939102173,1
1705451252.6898382,-431.3151820898056,-376.26385474205017,-191.2435241341591,-96.22014605998991,1
1705451252.6898382,-395.4121425151825,-375.78514754772186,-166.35075002908707,5.505132734775543,1
1705451252.7033896,-324.0847705602646,-374.34902596473694,-185.25968420505524,27.76501727104187,1
1705451252.7033896,-407.1404687762261,-388.7102417945862,-198.18477845191956,-89.27889174222946,1
1705451252.719054,-417.43267345428467,-365.97165006399155,-175.92489391565323,-43.08364748954773,1
1705451252.719054,-335.81309682130814,-376.7425619363785,-175.44618672132492,40.69011151790619,1
1705451252.7197783,-372.1948435902595,-391.8218385577202,-196.9880104660988,-47.3920122385025,1
1705451252.7197783,-444.9583371281624,-379.6148051023483,-182.14808744192123,-76.83250468969345,1
1705451252.7335472,-348.25948387384415,-362.1419925093651,-159.4094957113266,47.63136583566666,1
1705451252.7335472,-339.40340077877045,-379.3754515051842,-182.6267946362495,-2.8722431659698486,1
1705451252.7495089,-425.81004935503006,-374.34902596473694,-179.99390506744385,-82.09828382730484,1
1705451252.7495089,-384.8805842399597,-357.59427416324615,-164.43592125177383,13.882508635520937,1
1705451252.7643688,-307.56937235593796,-355.9187989830971,-177.121661901474,37.578514754772186,1
1705451252.7643688,-396.3695569038391,-374.8277331590653,-183.10550183057785,-76.5931510925293,1
1705451252.7648575,-426.5281101465225,-369.3226004242897,-168.02622520923617,-30.15855324268341,1
1705451252.7648575,-335.0950360298157,-369.801307618618,-171.61652916669846,50.98231619596481,1
1705451252.7790978,-371.23742920160294,-382.9657554626465,-190.28610974550247,-46.19524425268173,1
1705451252.7790978,-448.30928748846054,-373.15225797891617,-184.78097701072693,-76.35379749536514,1
1705451252.7797775,-361.9026389122009,-371.9554899930954,-168.7442860007286,35.663685977458954,1
1705451252.7797775,-352.0891414284706,-399.9598608613014,-192.679645717144,-11.010265469551086,1
1705451252.7935596,-438.0170828104019,-380.8115730881691,-182.8661482334137,-88.32147735357285,1
1705451252.7935596,-398.28438568115234,-362.86005330085754,-154.38307017087936,21.78117734193802,1
1705451252.8090613,-339.1640471816063,-384.16252344846725,-185.9777449965477,25.85018849372864,1
1705451252.8090613,-413.3636623024941,-392.06119215488434,-205.84409356117249,-94.54467087984084,1
1705451252.8097675,-410.2520655393601,-352.0891414284706,-162.0423852801323,-22.97794532775879,1
1705451252.8097675,-328.1537817120552,-366.92906445264816,-163.95721405744553,53.1364985704422,1
1705451252.8237011,-363.33876049518585,-382.4870482683182,-177.36101549863815,-32.07338201999664,1
1705451252.8237011,-417.6720270514488,-354.48267740011215,-158.69143491983414,-62.71064245700836,1
1705451252.8390615,-334.61632883548737,-347.30206948518753,-146.48440146446228,48.58878022432327,1
1705451252.8390615,-289.85720616579056,-341.55758315324783,-161.08497089147568,12.92509424686432,1
1705451252.8398235,-378.1786835193634,-337.72792559862137,-152.70759499073029,-58.40227770805359,1
1705451252.8398235,-376.024501144886,-349.69560545682907,-148.3992302417755,15.31863021850586,1
1705451252.853578,-286.5062558054924,-342.51499754190445,-147.20246225595474,52.65779137611389,1
1705451252.853578,-366.45035725831985,-356.63685977458954,-167.786871612072,-61.27452087402344,1
1705451252.8690803,-382.9657554626465,-336.77051120996475,-145.52698707580566,-18.190873384475708,1
1705451252.8690803,-292.01138854026794,-341.0788759589195,-146.48440146446228,63.66805684566498,1
1705451252.8697772,-329.350549697876,-354.96138459444046,-164.19656765460968,-18.430226981639866,1
1705451252.8697772,-401.87468963861465,-348.02013027668,-157.2553133368492,-60.31710648536682,1
1705451252.8835945,-320.01575940847397,-330.54731768369675,-142.65474390983582,51.700376987457275,1
1705451252.8835945,-293.2081565260887,-340.1214615702629,-158.9307885169983,10.292204678058624,1
1705451252.898809,-376.26385474205017,-336.5311576128006,-154.38307017087936,-65.34353202581406,1
1705451252.898809,-349.9349590539932,-330.54731768369675,-147.68116945028305,17.472812592983246,1
1705451252.9140975,-280.52241587638855,-336.77051120996475,-158.45208132266998,49.06748741865158,1
1705451252.9140975,-358.07298135757446,-347.78077667951584,-166.59010362625122,-57.68421691656113,1
1705451252.9147837,-393.49731373786926,-350.6530198454857,-160.60626369714737,-38.77528274059296,1
1705451252.9147837,-306.8513115644455,-353.7646166086197,-163.95721405744553,46.434597849845886,1
1705451252.9294508,-342.99370473623276,-367.1684180498123,-182.3874410390854,-45.23782986402512,1
1705451252.9294508,-410.7307727336883,-354.00397020578384,-175.20683312416077,-78.26862627267838,1
1705451252.9299312,-325.0421849489212,-335.573743224144,-159.64884930849075,35.663685977458954,1
1705451252.9299312,-312.35644429922104,-362.3813461065293,-174.72812592983246,-3.3509503602981567,1
1705451252.9433718,-400.1992144584656,-362.6206997036934,-172.57394355535507,-77.78991907835007,1
1705451252.9433718,-371.4767827987671,-353.7646166086197,-162.9997996687889,4.547718346118927,1
1705451252.959246,-291.0539741516113,-354.96138459444046,-173.05265074968338,30.876614034175873,1
1705451252.959246,-374.34902596473694,-364.29617488384247,-175.92489391565323,-74.43896871805191,1
1705451252.9598303,-390.6250705718994,-345.3872407078743,-151.27147340774536,-34.22756439447403,1
