 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1705429595.6310868,-47.3920122385025,-220.20530939102173,-169.94105398654938,326.95701372623444,0
1705429595.6310868,0.0,0.0,0.0,0.0,0
1705429595.673086,-105.55493634939194,-306.13325077295303,-242.7045475244522,268.07602882385254,0
1705429595.673086,6.223193526268005,-133.3199536204338,-116.56520181894302,392.06119215488434,0
1705429595.6877327,38.29657554626465,-137.8676719665527,-125.18193131685256,411.4488335251808,0
1705429595.6877327,-89.99695253372192,-302.30359321832657,-237.67812198400495,279.0862942934036,0
1705429595.702246,-51.93973058462143,-203.2112039923668,-160.60626369714737,336.77051120996475,0
1705429595.702246,55.05132734775543,-99.57109642028809,-94.3053172826767,432.7513036727905,0
1705429595.7029953,-42.844293892383575,-252.75739860534668,-207.99827593564987,320.73382019996643,0
1705429595.7029953,-75.87509030103683,-261.6134817004204,-205.36538636684415,294.16557091474533,0
1705429595.732833,47.63136583566666,-90.23630613088608,-78.98668706417084,438.97449719905853,0
1705429595.732833,-11.967679858207704,-203.6899111866951,-173.05265074968338,361.9026389122009,0
1705429595.733543,-99.09238922595978,-292.2507421374321,-235.04523241519928,272.8631007671356,0
1705429595.733543,-3.829657554626465,-148.3992302417755,-125.18193131685256,380.8115730881691,0
1705429595.7343032,21.063116550445557,-151.0321198105812,-140.50056153535843,397.3269712924957,0
1705429595.7343032,-89.75759893655777,-303.50036120414734,-240.31101155281067,265.2037856578827,0
1705429595.7630064,-50.98231619596481,-206.8015079498291,-177.83972269296646,328.39313530921936,0
1705429595.7630064,43.56235468387604,-111.5387762784958,-110.34200829267502,422.9378061890602,0
1705429595.7637277,-49.306841015815735,-261.6134817004204,-213.98211586475372,315.2286874651909,0
1705429595.7637277,-76.35379749536514,-259.459299325943,-210.63116550445557,291.2933277487755,0
1705429595.7644415,38.77528274059296,-100.5285108089447,-95.74143886566162,418.62944144010544,0
1705429595.7644415,-1.6754751801490784,-201.0570216178894,-161.08497089147568,365.7322964668274,0
1705429595.776477,-95.50208526849748,-299.4313500523567,-229.54009968042376,276.45340472459793,0
1705429595.776477,7.65931510925293,-132.60189282894137,-119.43744498491289,381.5296338796616,0
1705429595.7924984,36.14239317178726,-134.99542880058289,-124.46387052536012,406.1830543875694,0
1705429595.7924984,-87.36406296491623,-300.6281180381775,-245.8161442875862,269.7515040040016,0
1705429595.792922,-46.67395144701004,-203.45055758953097,-167.30816441774368,333.4195608496666,0
1705429595.792922,51.22166979312897,-98.85303562879562,-91.1937205195427,434.9054860472679,0
1705429595.80674,-54.57262015342712,-262.0921888947487,-211.58857989311215,313.79256588220596,0
1705429595.80674,-80.66216224431992,-261.3741281032562,-207.04086154699328,295.12298530340195,0
1705429595.854282,46.434597849845886,-92.15113490819932,-81.85893023014069,432.5119500756264,0
1705429595.854282,-9.095436692237854,-207.04086154699328,-170.65911477804184,359.26974934339523,0
1705429595.8549762,-101.72527879476549,-301.34617882966995,-235.04523241519928,268.07602882385254,0
1705429595.8549762,5.265779137611389,-137.38896477222443,-117.52261620759964,387.9921810030937,0
