 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1706389589.1138666,-439.9319115877151,-367.8864788413048,-303.7397148013115,-216.1362982392311,1
1706389589.1138666,-396.60891050100327,-361.6632853150368,-284.352073431015,-211.8279334902763,1
1706389589.1286085,-309.0054939389229,-378.1786835193634,-322.64864897727966,-142.1760367155075,1
1706389589.1286085,-397.805678486824,-367.8864788413048,-299.6707036495209,-176.16424751281738,1
1706389589.1585057,-420.7836238145828,-348.25948387384415,-272.8631007671356,-220.9233701825142,1
1706389589.1585057,-314.27127307653427,-371.4767827987671,-305.1758363842964,-160.12755650281906,1
1706389589.174506,-362.3813461065293,-381.2902802824974,-328.87184250354767,-161.80303168296814,1
1706389589.174506,-441.1286795735359,-355.44009178876877,-280.2830622792244,-229.06139248609543,1
1706389589.1750655,-345.62659430503845,-360.466517329216,-292.49009573459625,-189.56804895401,1
1706389589.1750655,-326.7176601290703,-374.34902596473694,-325.9995993375778,-135.23478239774704,1
1706389589.1758263,-427.246170938015,-359.0303957462311,-290.8146205544472,-195.55188888311383,1
1706389589.1758263,-387.9921810030937,-357.8336277604103,-280.7617694735527,-201.5357288122177,1
1706389589.1766248,-315.94674825668335,-385.5986450314522,-328.87184250354767,-141.6973295211792,1
1706389589.1766248,-407.3798223733902,-373.87031877040863,-303.50036120414734,-168.98363959789276,1
1706389589.1872475,-427.96423172950745,-362.1419925093651,-276.45340472459793,-215.89694464206696,1
1706389589.1872475,-328.6324889063835,-377.6999763250351,-315.94674825668335,-158.9307885169983,1
1706389589.2033355,-359.9878101348877,-376.7425619363785,-320.2551130056381,-148.15987664461136,1
1706389589.2033355,-434.66613245010376,-349.21689826250076,-275.73534393310547,-207.51956874132156,1
1706389589.2037268,-352.8072022199631,-368.8438932299614,-307.56937235593796,-183.10550183057785,1
1706389589.2037268,-334.8556824326515,-385.359291434288,-331.50473207235336,-134.99542880058289,1
1706389589.250121,-424.37392777204514,-354.243323802948,-289.6178525686264,-198.18477845191956,1
1706389589.250121,-388.94959539175034,-361.6632853150368,-290.575266957283,-210.63116550445557,1
1706389589.2516315,-318.8189914226532,-387.0347666144371,-336.0524504184723,-152.94694858789444,1
1706389589.2516315,-404.2682256102562,-371.23742920160294,-302.5429468154907,-167.54751801490784,1
1706389589.251887,-423.8952205777168,-356.8762133717537,-272.14503997564316,-212.78534787893295,1
1706389589.251887,-317.8615770339966,-372.912904381752,-309.4842011332512,-154.38307017087936,1
1706389589.2521772,-366.2110036611557,-376.024501144886,-318.57963782548904,-151.0321198105812,1
1706389589.2521772,-451.6602378487587,-364.7748820781708,-285.78819501399994,-219.72660219669345,1
1706389589.3103013,-365.7322964668274,-381.7689874768257,-311.87773710489273,-190.52546334266663,1
1706389589.3103013,-330.3079640865326,-380.3328658938408,-321.9305881857872,-140.50056153535843,1
1706389589.313243,-423.1771597862244,-351.37108063697815,-283.3946590423584,-189.0893417596817,1
1706389589.313243,-389.90700978040695,-359.5091029405594,-281.9585374593735,-200.33896082639697,1
1706389589.3136456,-327.43572092056274,-393.49731373786926,-336.5311576128006,-151.75018060207367,1
1706389589.3136456,-413.6030158996582,-384.4018770456314,-320.4944666028023,-182.3874410390854,1
1706389589.3137443,-410.4914191365242,-348.25948387384415,-267.59732162952423,-203.2112039923668,1
1706389589.3137443,-292.2507421374321,-348.4988374710083,-296.08039969205856,-137.14961117506027,1
1706389589.3245168,-344.1904727220535,-359.5091029405594,-302.7823004126549,-138.82508635520935,1
1706389589.3245168,-433.9480716586113,-346.3446550965309,-268.794089615345,-207.51956874132156,1
