 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1707595606.7608538,-293.2081565260887,-632.8509109020233,-2072.802151441574,-223.55625975131989,0
1707595606.7608538,-290.8146205544472,-590.485324203968,-2005.3044370412829,-218.0511270165443,0
1707595606.775364,-307.09066516160965,-611.7877943515778,-2006.0224978327751,-234.08781802654264,0
1707595606.775364,-289.85720616579056,-636.2018612623215,-2070.887322664261,-235.76329320669177,0
1707595606.78993,-281.9585374593735,-603.4104184508324,-2031.872686326504,-210.63116550445557,0
1707595606.78993,-304.2184219956398,-598.144639313221,-1986.8742100596428,-220.68401658535004,0
1707595606.7906656,-289.6178525686264,-628.7818997502327,-2061.3131787776947,-237.67812198400495,0
1707595606.7906656,-277.88952630758286,-614.8993911147118,-2058.680289208889,-217.33306622505188,0
1707595606.80432,-296.798460483551,-589.7672634124756,-1983.5232596993449,-208.71633672714233,0
1707595606.80432,-303.50036120414734,-629.260606944561,-2029.000443160534,-237.4387683868408,0
1707595606.8203332,-283.3946590423584,-626.6277173757553,-2068.254433095455,-224.0349669456482,0
1707595606.8203332,-285.30948781967163,-589.0492026209831,-2006.7405586242676,-210.87051910161972,0
1707595606.82088,-298.23458206653595,-605.0858936309814,-1998.6025363206863,-223.0775525569916,0
1707595606.82088,-282.4372446537018,-625.1915957927704,-2058.680289208889,-221.8807845711708,0
1707595606.8344631,-273.82051515579224,-590.7246778011322,-2023.7346640229223,-199.14219284057617,0
1707595606.8344631,-296.55910688638687,-584.7408378720284,-1982.565845310688,-214.22146946191788,0
1707595606.8504045,-290.33591336011887,-623.7554742097855,-2049.584852516651,-229.54009968042376,0
1707595606.8504045,-275.017283141613,-605.3252472281456,-2047.4306701421735,-212.30664068460464,0
1707595606.8505757,-298.23458206653595,-585.2195450663567,-1988.3103316426275,-213.0247014760971,0
1707595606.8505757,-298.23458206653595,-617.0535734891891,-2018.229531288147,-222.35949176549911,0
1707595606.8644893,-286.26690220832825,-629.7393141388893,-2062.988653957844,-212.30664068460464,0
1707595606.8644893,-293.44751012325287,-588.3311418294907,-2008.6553874015808,-206.8015079498291,0
1707595606.8803935,-308.5267867445946,-618.9684022665024,-2013.2031057476995,-231.69428205490112,0
1707595606.8803935,-288.42108458280563,-634.5263860821724,-2070.1692618727684,-230.01880687475204,0
1707595606.880596,-285.30948781967163,-605.3252472281456,-2032.8301007151604,-210.63116550445557,0
1707595606.880596,-291.53268134593964,-585.2195450663567,-1989.5070996284485,-218.52983421087265,0
