timestamps,TP9,AF7,AF8,TP10,Right AUX
1533045068.270,5.859,7.812,26.855,30.762,-14.160
1533045068.274,7.812,15.625,25.391,25.879,37.109
1533045068.278,24.902,-20.508,27.832,26.367,44.922
1533045068.282,20.020,28.809,25.391,30.762,2.930
1533045068.286,14.160,89.844,23.438,24.902,30.273
1533045068.290,16.113,39.062,31.250,28.320,67.383
1533045068.294,17.578,9.766,34.668,33.691,29.785
1533045068.298,20.020,38.574,26.855,32.227,48.828
1533045068.302,16.602,67.383,20.996,31.250,40.039
1533045068.306,19.531,27.344,17.090,34.668,46.875
1533045068.309,16.602,14.648,18.066,28.809,59.570
1533045068.313,12.207,40.527,21.973,20.996,-12.695
1533045068.317,23.926,-7.812,21.973,28.809,-22.949
1533045068.321,28.809,22.461,29.297,32.227,-5.859
1533045068.325,22.461,104.492,28.809,27.832,56.152
1533045068.329,22.461,57.617,22.949,25.391,46.875
1533045068.333,19.043,35.156,20.508,20.508,0.488
1533045068.337,14.160,48.828,19.043,11.230,56.641
1533045068.341,21.484,65.918,22.949,21.484,33.691
1533045068.345,27.832,62.012,25.391,27.344,-51.270
1533045068.348,22.461,39.062,28.320,25.391,4.395
1533045068.352,19.043,-7.324,16.113,21.484,34.668
1533045068.356,35.645,-38.086,21.973,28.809,6.836
1533045068.360,36.133,23.438,28.809,33.691,36.621
1533045068.364,18.066,105.469,18.555,20.996,39.551
1533045068.368,5.371,68.359,16.113,13.672,25.879
1533045068.372,7.324,36.133,14.648,12.207,55.664
1533045068.376,15.137,9.277,5.371,20.996,31.250
1533045068.380,20.508,41.504,8.789,18.066,27.344
1533045068.384,25.879,61.035,18.555,19.531,48.828
1533045068.388,22.949,23.926,18.066,23.926,-13.672
1533045068.391,18.066,16.113,12.207,14.648,-2.441
1533045068.395,20.020,-2.441,10.254,17.578,36.133
1533045068.399,22.461,-1.465,14.648,18.555,21.973
1533045068.403,12.695,56.641,12.207,13.184,58.105
1533045068.407,9.766,57.129,10.742,14.160,56.152
1533045068.411,13.184,17.578,15.137,10.254,-5.859
1533045068.415,19.531,-11.230,16.602,10.742,15.625
1533045068.419,20.508,-33.203,10.742,11.230,52.246
1533045068.423,13.672,46.875,16.113,12.207,7.812
1533045068.427,10.742,66.406,15.625,19.043,-24.414
1533045068.430,1.953,20.020,8.789,8.301,1.953
1533045068.434,6.836,9.277,12.207,2.930,56.641
1533045068.438,20.020,12.207,11.230,17.578,79.590
1533045068.442,11.230,33.203,22.949,21.973,8.301
1533045068.446,8.301,23.438,20.508,19.531,4.883
1533045068.450,7.324,-4.395,6.836,12.695,-8.301
1533045068.454,12.207,15.625,10.742,6.836,-61.523
1533045068.458,25.879,-7.324,11.230,6.348,2.930
1533045068.462,22.949,35.645,16.113,7.812,15.625
1533045068.466,17.090,106.934,31.250,16.113,33.203
1533045068.470,13.672,54.688,29.297,14.648,75.684
1533045068.473,13.184,15.625,14.648,7.812,72.754
1533045068.477,20.996,22.461,14.648,12.207,33.691
1533045068.481,24.414,49.805,23.926,20.020,-10.742
1533045068.485,19.531,64.941,21.973,19.043,12.207
1533045068.489,11.719,32.227,18.555,18.066,30.273
1533045068.493,16.602,-44.922,13.672,19.043,-16.113
1533045068.497,25.879,-12.207,18.066,20.020,-12.207
1533045068.501,21.484,79.590,29.297,22.461,0.977
1533045068.505,24.414,84.961,26.855,22.949,1.953
1533045068.509,24.414,51.758,25.879,18.555,32.715
1533045068.513,15.137,32.715,20.508,12.207,26.855
1533045068.516,25.391,-13.184,8.301,12.207,55.176
1533045068.520,30.762,10.254,8.301,10.254,87.891
1533045068.524,27.344,76.172,17.090,16.602,0.977
1533045068.528,30.273,43.457,15.137,20.020,-32.715
1533045068.532,26.855,23.438,13.672,13.184,-0.977
1533045068.536,32.715,6.348,17.578,20.508,16.113
1533045068.540,41.504,16.602,19.043,28.320,24.902
1533045068.544,32.715,51.758,14.648,22.461,42.969
1533045068.548,24.414,50.293,20.996,24.414,71.289
1533045068.552,20.996,-6.348,15.625,23.438,26.367
1533045068.555,30.273,-52.246,8.301,19.043,-22.949
1533045068.559,34.180,24.414,17.578,14.648,-5.371
1533045068.563,20.508,84.961,22.949,14.648,19.043
1533045068.567,20.508,40.527,19.043,12.695,54.199
1533045068.571,18.066,1.953,15.137,8.789,13.672
1533045068.575,23.926,-35.645,16.113,11.230,-37.109
1533045068.579,30.762,-11.719,26.367,16.602,38.086
1533045068.583,29.785,62.012,28.809,24.902,39.551
1533045068.587,31.250,22.461,25.879,26.855,11.230
1533045068.591,19.531,1.465,29.297,20.020,36.133
1533045068.595,13.672,12.695,23.926,13.184,53.711
1533045068.598,23.926,-30.762,20.996,12.207,44.922
1533045068.602,22.949,42.480,22.949,13.184,18.555
1533045068.606,17.090,69.824,22.949,10.742,46.387
1533045068.610,13.184,4.395,17.090,8.789,41.992
1533045068.614,10.742,-0.488,16.113,15.137,17.578
1533045068.618,17.578,18.555,21.973,12.207,-1.953
